trial,controller,passed,final_altitude_m,max_altitude_m,max_tilt_deg,final_tilt_deg,max_lateral_m,final_lateral_m,max_angular_rate_radps,min_body_z,saturation_fraction,mass_kg,inertia_scale,thrust_n,wind_x_mps,wind_y_mps,wind_speed_mps,thrust_misalign_deg,thrust_offset_x_m,cp_z_m,cn_alpha,max_gimbal_deg
35,pd_tvc,1,29.3695,29.3695,18.774,16.4902,19.248,19.248,0.850354,0.946795,0,49.2206,1.1232,836.019,3.33919,4.50031,5.60384,2.13819,0.00025739,0.22265,2.2957,4.82783
35,lqr_tvc,1,30.3993,30.3993,14.6929,13.3391,15.521,15.521,0.729591,0.967299,0,49.2206,1.1232,836.019,3.33919,4.50031,5.60384,2.13819,0.00025739,0.22265,2.2957,4.82783
36,open_loop,0,-5.10942,6.81841,179.267,68.4312,22.963,22.963,5.41716,-0.999918,0,52.1466,0.973857,834.308,2.66401,0.379593,2.69092,2.00332,0.00478835,0.33305,1.91643,5.40728
36,pd_tvc,1,25.4451,25.4451,17.2627,15.3064,17.1363,17.1363,0.822248,0.954954,0,52.1466,0.973857,834.308,2.66401,0.379593,2.69092,2.00332,0.00478835,0.33305,1.91643,5.40728
36,lqr_tvc,1,26.2683,26.2683,13.7393,12.3982,13.9583,13.9583,0.731726,0.971386,0,52.1466,0.973857,834.308,2.66401,0.379593,2.69092,2.00332,0.00478835,0.33305,1.91643,5.40728
37,open_loop,0,-9.07113,5.93964,179.7,156.23,23.8051,23.8051,5.96541,-0.999986,0,50.5932,0.872094,858.719,0.267265,0.390176,0.472935,0.431009,0.00542099,0.167059,2.60427,4.10594
37,pd_tvc,1,32.058,32.058,3.75992,3.50739,4.10063,4.10063,0.186818,0.997848,0,50.5932,0.872094,858.719,0.267265,0.390176,0.472935,0.431009,0.00542099,0.167059,2.60427,4.10594
37,lqr_tvc,1,32.1,32.1,3.03305,2.82718,3.35604,3.35604,0.171055,0.998599,0,50.5932,0.872094,858.719,0.267265,0.390176,0.472935,0.431009,0.00542099,0.167059,2.60427,4.10594
38,open_loop,0,-6.56866,6.45337,173.778,40.7242,23.1344,23.1344,9.51861,-0.99411,0,49.512,0.886622,858.794,4.97401,-4.41144,6.64843,2.02712,0.00676733,0.488999,2.79883,4.53242
38,pd_tvc,1,31.5331,31.5331,17.1542,12.5674,17.5564,17.5564,0.846719,0.955514,0,49.512,0.886622,858.794,4.97401,-4.41144,6.64843,2.02712,0.00676733,0.488999,2.79883,4.53242
38,lqr_tvc,1,32.3189,32.3189,13.8023,10.5396,14.3541,14.3541,0.771676,0.971125,0,49.512,0.886622,858.794,4.97401,-4.41144,6.64843,2.02712,0.00676733,0.488999,2.79883,4.53242
39,open_loop,0,0.749319,10.0616,177.894,33.4913,25.3265,25.3265,5.24078,-0.999325,0,49.5542,1.11538,863.878,1.11325,1.6695,2.00663,1.88721,0.00454264,0.294866,2.5049,5.35393
39,pd_tvc,1,31.7574,31.7574,17.1731,14.7786,18.2676,18.2676,0.780975,0.955417,0,49.5542,1.11538,863.878,1.11325,1.6695,2.00663,1.88721,0.00454264,0.294866,2.5049,5.35393
39,lqr_tvc,1,32.6441,32.6441,13.4609,12.0323,14.7688,14.7688,0.671411,0.972529,0,49.5542,1.11538,863.878,1.11325,1.6695,2.00663,1.88721,0.00454264,0.294866,2.5049,5.35393
